Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,,,,2026-01-02 17:03:34,2026-01-02 17:05:29,1m - 54.800s,FAILED
,,,,,,,
Test Cases/Login by Email,,,,2026-01-02 17:03:34,2026-01-02 17:04:02,27.572s,PASSED
"startExistingApplication(""id.co.labamu.app"")",,,,2026-01-02 17:03:35,2026-01-02 17:03:50,15.320s,PASSED
"widget = findTestObject(""Object Repository/btn-Widget-While"")",,,,2026-01-02 17:03:50,2026-01-02 17:03:50,0.053s,PASSED
"if (waitForElementPresent(widget, 5))",,,,2026-01-02 17:03:50,2026-01-02 17:03:55,5.085s,PASSED
else,,,,2026-01-02 17:03:55,2026-01-02 17:03:55,0.013s,PASSED
"btnEmailOption = findTestObject(""Object Repository/btn-text-Email-Option"")",,,,2026-01-02 17:03:55,2026-01-02 17:03:55,0.048s,PASSED
"inputEmail = findTestObject(""Object Repository/edt-Input-Email"")",,,,2026-01-02 17:03:55,2026-01-02 17:03:55,0.040s,PASSED
"chkAgreement = findTestObject(""Object Repository/btn-CheckBox"")",,,,2026-01-02 17:03:55,2026-01-02 17:03:55,0.045s,PASSED
"btnMasuk = findTestObject(""Object Repository/btn-Masuk"")",,,,2026-01-02 17:03:55,2026-01-02 17:03:55,0.040s,PASSED
"waitForElementPresent(btnEmailOption, 10)",,,,2026-01-02 17:03:55,2026-01-02 17:03:56,0.295s,PASSED
"tap(btnEmailOption, 10)",,,,2026-01-02 17:03:56,2026-01-02 17:03:56,0.364s,PASSED
"waitForElementPresent(inputEmail, 10)",,,,2026-01-02 17:03:56,2026-01-02 17:03:57,0.720s,PASSED
"tap(inputEmail, 10)",,,,2026-01-02 17:03:57,2026-01-02 17:03:57,0.324s,PASSED
"setText(inputEmail, email, 10)",,,,2026-01-02 17:03:57,2026-01-02 17:03:59,2.204s,PASSED
"tap(chkAgreement, 10)",,,,2026-01-02 17:03:59,2026-01-02 17:04:00,0.813s,PASSED
"waitForElementAttributeValue(btnMasuk, ""enabled"", ""true"", 10)",,,,2026-01-02 17:04:00,2026-01-02 17:04:01,0.866s,PASSED
"verifyElementAttributeValue(btnMasuk, ""enabled"", ""true"", 10)",,,,2026-01-02 17:04:01,2026-01-02 17:04:01,0.171s,PASSED
"tap(btnMasuk, 10)",,,,2026-01-02 17:04:01,2026-01-02 17:04:01,0.225s,PASSED
closeApplication(),,,,2026-01-02 17:04:01,2026-01-02 17:04:02,0.615s,PASSED
,,,,,,,
Test Cases/Login by Email,,,,2026-01-02 17:04:02,2026-01-02 17:04:26,24.634s,PASSED
