Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(inputEmail, email, 10)",,,,2026-01-02 17:11:39,2026-01-02 17:11:41,1.861s,PASSED
"tap(chkAgreement, 10)",,,,2026-01-02 17:11:41,2026-01-02 17:11:42,0.819s,PASSED
"waitForElementAttributeValue(btnMasuk, ""enabled"", ""true"", 10)",,,,2026-01-02 17:11:42,2026-01-02 17:11:43,0.845s,PASSED
"verifyElementAttributeValue(btnMasuk, ""enabled"", ""true"", 10)",,,,2026-01-02 17:11:43,2026-01-02 17:11:43,0.134s,PASSED
"tap(btnMasuk, 10)",,,,2026-01-02 17:11:43,2026-01-02 17:11:43,0.253s,PASSED
closeApplication(),,,,2026-01-02 17:11:43,2026-01-02 17:11:44,0.428s,PASSED
,,,,,,,
Test Cases/Login by Email,,,,2026-01-02 17:11:44,2026-01-02 17:12:08,23.977s,PASSED
"startExistingApplication(""id.co.labamu.app"")",,,,2026-01-02 17:11:44,2026-01-02 17:11:56,12.688s,PASSED
"widget = findTestObject(""Object Repository/btn-Widget-While"")",,,,2026-01-02 17:11:56,2026-01-02 17:11:56,0.042s,PASSED
"if (waitForElementPresent(widget, 5))",,,,2026-01-02 17:11:56,2026-01-02 17:12:01,5.092s,PASSED
else,,,,2026-01-02 17:12:01,2026-01-02 17:12:01,0.000s,PASSED
"btnEmailOption = findTestObject(""Object Repository/btn-text-Email-Option"")",,,,2026-01-02 17:12:01,2026-01-02 17:12:01,0.040s,PASSED
"inputEmail = findTestObject(""Object Repository/edt-Input-Email"")",,,,2026-01-02 17:12:01,2026-01-02 17:12:01,0.038s,PASSED
"chkAgreement = findTestObject(""Object Repository/btn-CheckBox"")",,,,2026-01-02 17:12:01,2026-01-02 17:12:01,0.037s,PASSED
"btnMasuk = findTestObject(""Object Repository/btn-Masuk"")",,,,2026-01-02 17:12:01,2026-01-02 17:12:02,0.036s,PASSED
"waitForElementPresent(btnEmailOption, 10)",,,,2026-01-02 17:12:02,2026-01-02 17:12:02,0.268s,PASSED
"tap(btnEmailOption, 10)",,,,2026-01-02 17:12:02,2026-01-02 17:12:03,0.883s,PASSED
"waitForElementPresent(inputEmail, 10)",,,,2026-01-02 17:12:03,2026-01-02 17:12:03,0.262s,PASSED
"tap(inputEmail, 10)",,,,2026-01-02 17:12:03,2026-01-02 17:12:03,0.364s,PASSED
"setText(inputEmail, email, 10)",,,,2026-01-02 17:12:03,2026-01-02 17:12:05,1.808s,PASSED
"tap(chkAgreement, 10)",,,,2026-01-02 17:12:05,2026-01-02 17:12:06,0.789s,PASSED
