Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,,,,2026-01-02 17:06:17,2026-01-02 17:09:38,3m - 21.221s,PASSED
,,,,,,,
Test Cases/Login by Email,,,,2026-01-02 17:06:17,2026-01-02 17:06:48,30.682s,PASSED
"startExistingApplication(""id.co.labamu.app"")",,,,2026-01-02 17:06:17,2026-01-02 17:06:36,18.610s,PASSED
"widget = findTestObject(""Object Repository/btn-Widget-While"")",,,,2026-01-02 17:06:36,2026-01-02 17:06:36,0.055s,PASSED
"if (waitForElementPresent(widget, 5))",,,,2026-01-02 17:06:36,2026-01-02 17:06:41,5.186s,PASSED
else,,,,2026-01-02 17:06:41,2026-01-02 17:06:41,0.003s,PASSED
"btnEmailOption = findTestObject(""Object Repository/btn-text-Email-Option"")",,,,2026-01-02 17:06:41,2026-01-02 17:06:41,0.042s,PASSED
"inputEmail = findTestObject(""Object Repository/edt-Input-Email"")",,,,2026-01-02 17:06:41,2026-01-02 17:06:41,0.043s,PASSED
"chkAgreement = findTestObject(""Object Repository/btn-CheckBox"")",,,,2026-01-02 17:06:41,2026-01-02 17:06:41,0.040s,PASSED
"btnMasuk = findTestObject(""Object Repository/btn-Masuk"")",,,,2026-01-02 17:06:41,2026-01-02 17:06:41,0.041s,PASSED
"waitForElementPresent(btnEmailOption, 10)",,,,2026-01-02 17:06:41,2026-01-02 17:06:42,0.314s,PASSED
"tap(btnEmailOption, 10)",,,,2026-01-02 17:06:42,2026-01-02 17:06:42,0.332s,PASSED
"waitForElementPresent(inputEmail, 10)",,,,2026-01-02 17:06:42,2026-01-02 17:06:43,0.741s,PASSED
"tap(inputEmail, 10)",,,,2026-01-02 17:06:43,2026-01-02 17:06:43,0.341s,PASSED
"setText(inputEmail, email, 10)",,,,2026-01-02 17:06:43,2026-01-02 17:06:45,1.982s,PASSED
"tap(chkAgreement, 10)",,,,2026-01-02 17:06:45,2026-01-02 17:06:46,0.814s,PASSED
"waitForElementAttributeValue(btnMasuk, ""enabled"", ""true"", 10)",,,,2026-01-02 17:06:46,2026-01-02 17:06:47,0.827s,PASSED
"verifyElementAttributeValue(btnMasuk, ""enabled"", ""true"", 10)",,,,2026-01-02 17:06:47,2026-01-02 17:06:47,0.222s,PASSED
"tap(btnMasuk, 10)",,,,2026-01-02 17:06:47,2026-01-02 17:06:47,0.219s,PASSED
closeApplication(),,,,2026-01-02 17:06:47,2026-01-02 17:06:48,0.543s,PASSED
,,,,,,,
Test Cases/Login by Email,,,,2026-01-02 17:06:48,2026-01-02 17:07:12,24.219s,PASSED
"startExistingApplication(""id.co.labamu.app"")",,,,2026-01-02 17:06:48,2026-01-02 17:07:00,12.585s,PASSED
"widget = findTestObject(""Object Repository/btn-Widget-While"")",,,,2026-01-02 17:07:00,2026-01-02 17:07:00,0.054s,PASSED
"if (waitForElementPresent(widget, 5))",,,,2026-01-02 17:07:00,2026-01-02 17:07:06,5.153s,PASSED
else,,,,2026-01-02 17:07:06,2026-01-02 17:07:06,0.000s,PASSED
"btnEmailOption = findTestObject(""Object Repository/btn-text-Email-Option"")",,,,2026-01-02 17:07:06,2026-01-02 17:07:06,0.041s,PASSED
"inputEmail = findTestObject(""Object Repository/edt-Input-Email"")",,,,2026-01-02 17:07:06,2026-01-02 17:07:06,0.037s,PASSED
"chkAgreement = findTestObject(""Object Repository/btn-CheckBox"")",,,,2026-01-02 17:07:06,2026-01-02 17:07:06,0.040s,PASSED
"btnMasuk = findTestObject(""Object Repository/btn-Masuk"")",,,,2026-01-02 17:07:06,2026-01-02 17:07:06,0.039s,PASSED
"waitForElementPresent(btnEmailOption, 10)",,,,2026-01-02 17:07:06,2026-01-02 17:07:06,0.283s,PASSED
"tap(btnEmailOption, 10)",,,,2026-01-02 17:07:06,2026-01-02 17:07:06,0.347s,PASSED
"waitForElementPresent(inputEmail, 10)",,,,2026-01-02 17:07:06,2026-01-02 17:07:07,0.768s,PASSED
"tap(inputEmail, 10)",,,,2026-01-02 17:07:07,2026-01-02 17:07:07,0.333s,PASSED
"setText(inputEmail, email, 10)",,,,2026-01-02 17:07:07,2026-01-02 17:07:10,2.081s,PASSED
"tap(chkAgreement, 10)",,,,2026-01-02 17:07:10,2026-01-02 17:07:10,0.812s,PASSED
"waitForElementAttributeValue(btnMasuk, ""enabled"", ""true"", 10)",,,,2026-01-02 17:07:10,2026-01-02 17:07:11,0.829s,PASSED
"verifyElementAttributeValue(btnMasuk, ""enabled"", ""true"", 10)",,,,2026-01-02 17:07:11,2026-01-02 17:07:11,0.163s,PASSED
"tap(btnMasuk, 10)",,,,2026-01-02 17:07:11,2026-01-02 17:07:12,0.242s,PASSED
closeApplication(),,,,2026-01-02 17:07:12,2026-01-02 17:07:12,0.400s,PASSED
,,,,,,,
Test Cases/Login by Email,,,,2026-01-02 17:07:12,2026-01-02 17:07:36,24.314s,PASSED
"startExistingApplication(""id.co.labamu.app"")",,,,2026-01-02 17:07:12,2026-01-02 17:07:25,12.644s,PASSED
"widget = findTestObject(""Object Repository/btn-Widget-While"")",,,,2026-01-02 17:07:25,2026-01-02 17:07:25,0.039s,PASSED
"if (waitForElementPresent(widget, 5))",,,,2026-01-02 17:07:25,2026-01-02 17:07:30,5.160s,PASSED
else,,,,2026-01-02 17:07:30,2026-01-02 17:07:30,0.001s,PASSED
"btnEmailOption = findTestObject(""Object Repository/btn-text-Email-Option"")",,,,2026-01-02 17:07:30,2026-01-02 17:07:30,0.045s,PASSED
"inputEmail = findTestObject(""Object Repository/edt-Input-Email"")",,,,2026-01-02 17:07:30,2026-01-02 17:07:30,0.051s,PASSED
"chkAgreement = findTestObject(""Object Repository/btn-CheckBox"")",,,,2026-01-02 17:07:30,2026-01-02 17:07:30,0.039s,PASSED
"btnMasuk = findTestObject(""Object Repository/btn-Masuk"")",,,,2026-01-02 17:07:30,2026-01-02 17:07:30,0.038s,PASSED
"waitForElementPresent(btnEmailOption, 10)",,,,2026-01-02 17:07:30,2026-01-02 17:07:30,0.316s,PASSED
"tap(btnEmailOption, 10)",,,,2026-01-02 17:07:30,2026-01-02 17:07:31,0.354s,PASSED
"waitForElementPresent(inputEmail, 10)",,,,2026-01-02 17:07:31,2026-01-02 17:07:31,0.755s,PASSED
"tap(inputEmail, 10)",,,,2026-01-02 17:07:31,2026-01-02 17:07:32,0.318s,PASSED
"setText(inputEmail, email, 10)",,,,2026-01-02 17:07:32,2026-01-02 17:07:34,2.080s,PASSED
"tap(chkAgreement, 10)",,,,2026-01-02 17:07:34,2026-01-02 17:07:35,0.823s,PASSED
"waitForElementAttributeValue(btnMasuk, ""enabled"", ""true"", 10)",,,,2026-01-02 17:07:35,2026-01-02 17:07:36,0.817s,PASSED
"verifyElementAttributeValue(btnMasuk, ""enabled"", ""true"", 10)",,,,2026-01-02 17:07:36,2026-01-02 17:07:36,0.166s,PASSED
"tap(btnMasuk, 10)",,,,2026-01-02 17:07:36,2026-01-02 17:07:36,0.191s,PASSED
